X,Y,OBJECTID,DATE_,SITE,PROBE,TEMP_C,CONDUCTIVI,SP_CONDUCT,SALINITY,DISS_OXYGE,COMMENTS,UTM_E,UTM_N
-12898906.8272,3931692.0641,247,2005/01/19 00:00:00+00,South Salton City,4.0,15.5,42.0,51.3,39.4,11.3, ,604971,3682198
-12918978.9415,3962128.9618,248,2005/01/20 00:00:00+00,Whitewater River,4.0,15.3,45.1,55.3,44.0,8.7, ,587948,3707343
-12917367.5293,3952583.1879,249,2005/01/20 00:00:00+00,North Desert Shores,4.0,14.5,39.7,49.5,37.4,9.1, ,589366,3699424
-12918978.9415,3962128.9618,250,2005/01/21 00:00:00+00,Whitewater River,4.0,16.0,46.0,55.4,44.1,10.2, ,587948,3707343
-12917367.5293,3952583.1879,251,2005/01/21 00:00:00+00,North Desert Shores,4.0,14.4,39.6,49.8,37.7,10.6, ,589366,3699424
-12894448.6437,3919637.7002,252,2005/02/03 00:00:00+00,Test Base,4.0,14.7,36.0,45.0,32.9,5.5, ,608813,3672196
-12894448.6437,3919637.7002,253,2005/02/04 00:00:00+00,Test Base,4.0,15.1,45.0,55.4,44.1,7.1, ,608813,3672196
-12879300.2081,3913176.1348,254,2005/02/08 00:00:00+00,New River,4.0,14.8,38.3,47.3,35.2,1.2, ,621567,3666958
-12879300.2081,3913176.1348,255,2005/02/09 00:00:00+00,New River,4.0,15.3,39.6,48.5,36.4,1.3, ,621567,3666958
-12886715.1589,3942739.9842,256,2005/04/05 00:00:00+00,The Cliffs,4.0,19.5,49.9,56.0,44.8,9.3, ,615062,3691509
-12886715.1589,3942739.9842,257,2005/04/06 00:00:00+00,The Cliffs,4.0,21.3,51.2,55.4,44.1,12.5, ,615062,3691509
-12870894.0266,3935316.5046,258,2005/04/06 00:00:00+00,North Wister,4.0,20.7,47.2,51.7,39.8,16.6, ,628368,3685497
-12870894.0266,3935316.5046,259,2005/04/07 00:00:00+00,North Wister,4.0,19.5,46.4,52.4,40.6,15.6, ,628368,3685497
-12908343.5215,3941190.3219,260,2005/04/12 00:00:00+00,The Dome,4.0,20.6,51.4,56.4,45.3,11.6, ,596997,3690022
-12898906.8272,3931692.0641,261,2005/04/12 00:00:00+00,South Salton City,4.0,19.6,50.5,56.5,45.4,9.8, ,604971,3682198
-12908343.5215,3941190.3219,262,2005/04/13 00:00:00+00,The Dome,4.0,21.5,52.7,56.1,44.9,14.5, ,596997,3690022
-12898906.8272,3931692.0641,263,2005/04/13 00:00:00+00,South Salton City,4.0,20.4,51.0,56.6,45.6,10.4, ,604971,3682198
-12906353.2527,3964286.9348,264,2005/04/19 00:00:00+00,North Shore,4.0,20.4,51.3,56.5,45.4,1.8, ,598465,3709237
-12906353.2527,3964286.9348,265,2005/04/20 00:00:00+00,North Shore,4.0,21.5,52.6,56.4,45.3,8.4, ,598465,3709237
-12895737.4548,3952891.3244,266,2005/04/20 00:00:00+00,Bat Caves,4.0,20.8,51.8,56.4,45.3,3.8, ,607427,3699864
-12895737.4548,3952891.3244,267,2005/04/21 00:00:00+00,Bat Caves,4.0,21.3,52.2,56.1,44.9,2.2, ,607427,3699864
-12870915.7261,3923476.2963,268,2005/04/21 00:00:00+00,Alamo River,4.0,23.1,52.6,54.8,43.4,7.7, ,628480,3675635
-12870915.7261,3923476.2963,269,2005/04/22 00:00:00+00,Alamo River,4.0,22.4,53.3,56.1,44.9,8.9, ,628480,3675635
-12918978.9415,3962128.9618,270,2005/04/26 00:00:00+00,Whitewater River,4.0,21.2,51.8,56.3,45.2,3.5, ,587948,3707343
-12917367.5293,3952583.1879,271,2005/04/26 00:00:00+00,North Desert Shores,4.0,20.6,51.4,56.3,45.2,3.0, ,589366,3699424
-12918978.9415,3962128.9618,272,2005/04/27 00:00:00+00,Whitewater River,4.0,22.1,53.4,56.4,45.3,4.7, ,587948,3707343
-12917367.5293,3952583.1879,273,2005/04/27 00:00:00+00,North Desert Shores,4.0,21.7,52.6,56.2,45.1,7.9, ,589366,3699424
-12894448.6437,3919637.7002,274,2005/05/03 00:00:00+00,Test Base,4.0,22.4,54.1,56.8,45.8,4.0, ,608813,3672196
-12879300.2081,3913176.1348,275,2005/05/03 00:00:00+00,New River,4.0,22.9,54.0,56.4,45.3,10.8, ,621567,3666958
-12894448.6437,3919637.7002,276,2005/05/04 00:00:00+00,Test Base,4.0,23.3,49.5,51.3,39.4,7.3, ,608813,3672196
-12879300.2081,3913176.1348,277,2005/05/04 00:00:00+00,New River,4.0,22.9,53.7,56.0,44.8,10.3, ,621567,3666958
-12908343.5215,3941190.3219,278,2005/07/14 00:00:00+00,The Dome,4.0,30.2,62.1,56.6,45.6,1.0, ,596997,3690022
-12898906.8272,3931692.0641,279,2005/07/14 00:00:00+00,South Salton City,4.0,30.1,62.5,57.0,46.1,0.9, ,604971,3682198
